playlist_url,year,track_id,track_name,track_popularity,album,artist_id,artist_name,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M,2024.0,2OzhQlSqBEmt7hmkYxfT6m,Fortnight (feat. Post Malone),89,THE TORTURED POETS DEPARTMENT,06HL4z0CvFAxyc27GXpf02,Taylor Swift,['pop'],100,0.675,0.397,11,-10.895,1,0.0245,0.499,5.85e-06,0.0939,0.319,95.988,228965,4
https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M,2024.0,4IadxL6BUymXlh8RCJJu7T,Too Sweet,90,Unheard,2FXC3k01G6Gw61bmprjgqS,Hozier,"['irish singer-songwriter', 'modern rock', 'pov: indie']",85,0.741,0.62,10,-5.505,1,0.0412,0.0295,0.000809,0.0398,0.934,117.038,251424,4
https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M,2024.0,2GxrNKugF82CnoRFbQfzPf,i like the way you kiss me,100,i like the way you kiss me,0PCCGZ0wGLizHt2KZ7hhA2,Artemas,[],81,0.599,0.946,11,-4.263,1,0.0447,0.000938,0.0106,0.0826,0.747,151.647,142515,4
https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M,2024.0,2qSkIjg1o9h3YT9RAgYN75,Espresso,92,Espresso,74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,['pop'],81,0.701,0.771,0,-5.486,1,0.0293,0.133,1.17e-05,0.197,0.661,103.982,175459,4
https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M,2024.0,3rUGC1vUpkDG9CZFHMur1t,greedy,97,greedy,45dkTj5sMRSjrmBSBeiHym,Tate McRae,['pop'],83,0.75,0.733,6,-3.18,0,0.0319,0.256,0,0.114,0.844,111.018,131872,1
https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M,2024.0,6tNQ70jh4OwmPGpYy6R2o9,Beautiful Things,99,Beautiful Things,22wbnEMDvgVIAGdFeek6ET,Benson Boone,['singer-songwriter pop'],84,0.472,0.471,10,-5.692,1,0.0603,0.151,0,0.14,0.219,105.029,180304,3
https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M,2024.0,46kspZSY3aKmwQe7O77fCC,we can't be friends (wait for your love),91,eternal sunshine,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,['pop'],91,0.647,0.65,5,-8.278,1,0.0421,0.0716,1.62e-05,0.0749,0.281,115.853,228639,4
https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M,2024.0,3qhlB30KknSejmIvZZLjOD,End of Beginning,99,DECIDE,5p9HO3XC5P3BLxJs5Mtrhm,Djo,"['pov: indie', 'psychedelic pop']",79,0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,159246,4
https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M,2024.0,17phhZDn6oGtzMe56NuWvj,Lose Control,94,I've Tried Everything But Therapy (Part 1),33qOK5uJ8AR2xuQQAhHump,Teddy Swims,[],80,0.561,0.604,9,-4.409,1,0.0337,0.199,1.9e-05,0.104,0.242,159.92,210689,3
https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M,2024.0,1bjeWoagtHmUKputLVyDxQ,Saturn,94,Saturn,7tYKF4w9nC0nq9CsPZTHyP,SZA,"['pop', 'r&b', 'rap']",88,0.411,0.619,1,-6.834,1,0.0368,0.62,0,0.11,0.337,177.937,186192,4
